latitude,longitude,time,GPI
37.5,118.5,13602255.0,0.0
37.5,119.5,13602255.0,0.0
37.5,120.5,13602255.0,0.0
36.5,30.5,13602255.0,0.0
36.5,31.5,13602255.0,0.0012423529
36.5,32.5,13602255.0,0.10442754
36.5,33.5,13602255.0,0.55074525
36.5,34.5,13602255.0,1.1630486
36.5,35.5,13602255.0,0.97110975
36.5,36.5,13602255.0,0.41084945
36.5,37.5,13602255.0,0.19154437
36.5,38.5,13602255.0,0.04790394
36.5,39.5,13602255.0,0.0077574216
36.5,40.5,13602255.0,0.0
36.5,41.5,13602255.0,0.0
36.5,42.5,13602255.0,0.0
36.5,43.5,13602255.0,0.0
36.5,44.5,13602255.0,0.0
36.5,45.5,13602255.0,0.0
36.5,46.5,13602255.0,0.0
36.5,47.5,13602255.0,0.0
36.5,48.5,13602255.0,0.0
36.5,49.5,13602255.0,0.0
36.5,50.5,13602255.0,0.0
